step,avg_return
0,-200.0
50000,-200.0
100000,-181.1
150000,-155.8
200000,-143.5
250000,-160.9
300000,-193.9
350000,-129.9
400000,-109.9
450000,-113.0
500000,-109.8
550000,-104.9
600000,-109.6
650000,-102.6
700000,-100.9
750000,-99.9
800000,-98.6
850000,-97.5
900000,-120.2
950000,-110.8
1000000,-99.5
1050000,-97.4
1100000,-96.0
1150000,-96.9
1200000,-101.0
1250000,-99.4
1300000,-98.3
1350000,-97.1
1400000,-99.1
1450000,-101.3
1500000,-98.3
1550000,-97.0
1600000,-101.2
1650000,-100.0
1700000,-101.2
1750000,-101.5
1800000,-99.6
1850000,-96.5
1900000,-100.2
1950000,-99.5
2000000,-97.4
