step,avg_return
0,-200.0
50000,-200.0
100000,-200.0
150000,-200.0
200000,-200.0
250000,-160.3
300000,-140.0
350000,-125.8
400000,-139.6
450000,-160.6
500000,-156.0
550000,-116.6
600000,-168.6
650000,-136.1818181818182
700000,-102.2
750000,-105.3
800000,-105.5
850000,-104.5
900000,-103.9
950000,-116.1
1000000,-100.6
1050000,-108.1
1100000,-102.1
1150000,-102.6
1200000,-108.3
1250000,-102.1
1300000,-104.1
1350000,-101.1
1400000,-107.9
1450000,-100.9
1500000,-103.9
1550000,-93.2
1600000,-105.5
1650000,-102.3
1700000,-96.8
1750000,-98.0
1800000,-96.6
1850000,-106.2
1900000,-108.5
1950000,-98.1
2000000,-97.8
