step,avg_return
0,-200.0
50000,-200.0
100000,-200.0
150000,-200.0
200000,-200.0
250000,-200.0
300000,-200.0
350000,-200.0
400000,-200.0
450000,-200.0
500000,-200.0
550000,-200.0
600000,-200.0
650000,-200.0
700000,-200.0
750000,-200.0
800000,-200.0
850000,-200.0
900000,-200.0
950000,-200.0
1000000,-200.0
1050000,-200.0
1100000,-200.0
1150000,-200.0
1200000,-200.0
1250000,-200.0
1300000,-200.0
1350000,-200.0
1400000,-200.0
1450000,-200.0
1500000,-200.0
1550000,-200.0
1600000,-200.0
1650000,-197.6
1700000,-200.0
1750000,-163.0
1800000,-200.0
1850000,-200.0
1900000,-200.0
1950000,-200.0
2000000,-200.0
