step,avg_return
0,-200.0
50000,-200.0
100000,-200.0
150000,-200.0
200000,-200.0
250000,-200.0
300000,-200.0
350000,-200.0
400000,-200.0
450000,-200.0
500000,-200.0
550000,-200.0
600000,-200.0
650000,-200.0
700000,-200.0
750000,-127.9
800000,-147.2
850000,-137.66666666666666
900000,-105.0
950000,-159.6
1000000,-186.6
1050000,-105.1
1100000,-107.4
1150000,-103.3
1200000,-101.4
1250000,-104.9
1300000,-100.5
1350000,-103.8
1400000,-108.5
1450000,-100.0
1500000,-104.8
1550000,-96.6
1600000,-98.8
1650000,-116.9
1700000,-101.2
1750000,-114.0
1800000,-100.2
1850000,-100.2
1900000,-99.5
1950000,-104.4
2000000,-94.9
